time,timeDate,close,high,low,open,volumefrom,volumeto
1.48772E+12,2017-02-22,0.001951,0.002367,0.001951,0.001985,5118556.11,9995.04
1.48781E+12,2017-02-23,0.00196,0.001985,0.00195,0.001951,170007.2,334.57
1.48789E+12,2017-02-24,0.001831,0.002,0.001806,0.00196,3283084.37,6257.86
1.48798E+12,2017-02-25,0.001857,0.001857,0.0018,0.001831,2787545.18,5052.28
1.48807E+12,2017-02-26,0.001884,0.001884,0.001732,0.001857,1534813.44,2877.57
1.48815E+12,2017-02-27,0.001804,0.001886,0.001795,0.001884,1077070.42,1994.2
1.48824E+12,2017-02-28,0.00192,0.001934,0.001793,0.001804,1042915.07,1901.34
1.48833E+12,2017-03-01,0.00174,0.00192,0.001708,0.00192,5235290.98,9132.48
1.48841E+12,2017-03-02,0.001736,0.001744,0.001691,0.00174,7121430.3,12768.42
1.4885E+12,2017-03-03,0.001702,0.001848,0.0017,0.001736,3190055.67,5694.47
1.48859E+12,2017-03-04,0.00175,0.001753,0.001701,0.001702,1283975.89,2278.63
1.48867E+12,2017-03-05,0.001742,0.00175,0.0017,0.00175,3197102.83,5568.01
1.48876E+12,2017-03-06,0.001817,0.001819,0.00171,0.001742,4632816.7,8527.64
1.48884E+12,2017-03-07,0.001967,0.002,0.001817,0.001817,3996673.69,7715.75
1.48893E+12,2017-03-08,0.0018,0.0021,0.0018,0.001967,5355010.33,10720.2
1.48902E+12,2017-03-09,0.002014,0.002026,0.001703,0.0018,5480745.01,9674.75
1.4891E+12,2017-03-10,0.001402,0.002014,0.001401,0.002014,9043039.07,15304.4
1.48919E+12,2017-03-11,0.001661,0.001805,0.001402,0.001402,3965651.22,6867.76
1.48928E+12,2017-03-12,0.001767,0.001822,0.001661,0.001661,5250934.43,9512.41
1.48936E+12,2017-03-13,0.001849,0.002093,0.001767,0.001767,9901407.53,19286.71
1.48945E+12,2017-03-14,0.001817,0.002098,0.0018,0.001849,2141062.55,4082.39
1.48954E+12,2017-03-15,0.001938,0.001999,0.001817,0.001817,4133326.05,8092.7
1.48962E+12,2017-03-16,0.001691,0.001992,0.001675,0.001938,7467538.14,13911.65
1.48971E+12,2017-03-17,0.001768,0.001977,0.001673,0.001691,6805210.31,12513.52
1.4898E+12,2017-03-18,0.001983,0.001993,0.001768,0.001768,11368386.27,21331.36
1.48988E+12,2017-03-19,0.001701,0.001999,0.001701,0.001983,7999401.86,15039.79
1.48997E+12,2017-03-20,0.001999,0.001999,0.001701,0.001701,2486896.72,4732.45
1.49005E+12,2017-03-21,0.0021,0.0021,0.001721,0.001999,8531655.16,17448.55
1.49014E+12,2017-03-22,0.00188,0.002249,0.001859,0.0021,8186483.19,15979.47
1.49023E+12,2017-03-23,0.0022,0.0022,0.001859,0.00188,11105175.24,22547.69
1.49031E+12,2017-03-24,0.00195,0.002396,0.001871,0.0022,36137520.62,80511.23
1.4904E+12,2017-03-25,0.002,0.002199,0.00195,0.00195,13661901.46,27441.55
1.49049E+12,2017-03-26,0.001991,0.00205,0.0019,0.002,10212237.93,20671.03
1.49057E+12,2017-03-27,0.00187,0.002195,0.00186,0.001991,25387951.07,49005.9
1.49066E+12,2017-03-28,0.002095,0.002095,0.001837,0.00187,13180667.37,25682.12
1.49075E+12,2017-03-29,0.001917,0.0021,0.00184,0.002095,10728497.13,21410.71
1.49083E+12,2017-03-30,0.0023,0.0023,0.001883,0.001917,33985238.85,74485.64
1.49092E+12,2017-03-31,0.002282,0.002844,0.002083,0.0023,40073986.58,100535.66
1.491E+12,2017-04-01,0.00285,0.00285,0.002149,0.002282,18803083.9,46777.65
1.49109E+12,2017-04-02,0.004405,0.0051,0.00254,0.00285,76502782.75,274219.75
1.49118E+12,2017-04-03,0.003036,0.00509,0.002501,0.004405,66274878.28,262849.71
1.49126E+12,2017-04-04,0.003011,0.0035,0.00279,0.003036,25479729.57,79171.51
1.49135E+12,2017-04-05,0.003082,0.003508,0.002925,0.003011,52057466.08,167338.26
1.49144E+12,2017-04-06,0.002831,0.00344,0.002762,0.003082,38399829.87,117628.24
1.49152E+12,2017-04-07,0.002719,0.002975,0.00267,0.002831,36822292,103600.78
1.49161E+12,2017-04-08,0.003064,0.0036,0.002612,0.002719,32535322.59,96098.05
1.4917E+12,2017-04-09,0.002769,0.003162,0.002701,0.003064,35839237.02,103521.59
1.49178E+12,2017-04-10,0.002858,0.002875,0.002709,0.002769,11555599.97,32264.4
1.49187E+12,2017-04-11,0.0028,0.002879,0.0027,0.002858,8126560.75,22828.29
